"Date","Year on Year Percent Change in the Consumer Price Index - Inflation Rate (%)","Year on Year Percent Change in the Consumer Price Index - Food (%)","Year on Year Percent Change in the Consumer Price Index - Core (%)","Year on Year Percent Change in the Consumer Price Index (End of Period) - Inflation Rate (%)","Year on Year Percent Change in the Consumer Price Index (End of Period) - Core (%)","Consumer Price Index - Bread and Cereals (Year-On-Year Per Cent Change)","Consumer Price Index - Meat (Year-On-Year Per Cent Change)","Consumer Price Index - Fish (Year-On-Year Per Cent Change)","Consumer Price Index - Milk, Cheese and Eggs (Year-On-Year Per Cent Change)","Consumer Price Index - Oils and Fats (Year-On-Year Per Cent Change)","Consumer Price Index - Fruits (Year-On-Year Per Cent Change)","Consumer Price Index - Vegetables (Year-On-Year Per Cent Change)","Consumer Price Index - Non-Alcoholic Drinks (Year-On-Year Per Cent Change)","Consumer Price Index - Alcoholic Beverages and Tobacco (Year-On-Year Per Cent Change)","Consumer Price Index - Clothing & Footwear (Year-On-Year Per Cent Change)","Consumer Price Index - Housing - (Year-On-Year Per Cent Change)","Consumer Price Index - Rent - (Year-On-Year Per Cent Change)","Consumer Price Index - Imputed Rent - (Year-On-Year Per Cent Change)","Consumer Price Index - Water,Electricity,Gas and Other Fuels - (Year-On-Year Per Cent Change)","Consumer Price Index - Furnishings, Household Equipment and Routine Maintenance of the House (Year-On-Year Per Cent Change)","Consumer Price Index - Health (Year-On-Year Per Cent Change)","Consumer Price Index - Transport- (Year-On-Year Per Cent Change)","Consumer Price Index - Communication (Year-On-Year Per Cent Change)","Consumer Price Index - Recreation and Culture (Year-On-Year Per Cent Change)","Consumer Price Index - Education (Year-On-Year Per Cent Change)","Consumer Price Index - Hotels, Cafes and Restaurants (Year-On-Year Per Cent Change)","Consumer Price Index - Miscellaneous Goods and Services (Year-On-Year Per Cent Change)","Consumer Price Index - All Items - (Year-On-Year Per Cent Change) - Tobago","Consumer Price Index - Food - (Year-On-Year Per Cent Change) - Tobago","Consumer Price Index - Core - (Year-On-Year Per Cent Change) - Tobago"
"31/12/1991","3.9","6.1","1.7","2.3","0.9","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","5.7","0.8","0.4","-0.3","7.1","-0.2","2.3","n.d.","0.6","n.d.","11.9","n.d.","1.6","-0.5","n.d.","n.d.","n.d."
"31/12/1992","6.5","8.7","4.2","8.5","4.3","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","20.3","-0.5","0.6","0.2","4.5","5.6","0.3","n.d.","9.4","n.d.","5.5","n.d.","2.3","4.1","n.d.","n.d.","n.d."
"31/12/1993","10.8","18.9","2.5","13.4","5.3","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","3.0","-1.1","2.5","1.1","7.7","1.4","2.4","n.d.","4.9","n.d.","3.9","n.d.","4.9","7.3","n.d.","n.d.","n.d."
"31/12/1994","8.8","17.4","4.5","5.5","2.1","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","3.4","-0.6","4.2","0.3","6.7","3.6","3.8","n.d.","8.5","n.d.","5.5","n.d.","7.3","7.6","n.d.","n.d.","n.d."
"31/12/1995","5.3","16.8","1.8","3.8","1.6","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","7.6","-1.3","2.7","0.2","3.0","0.0","0.6","n.d.","2.0","n.d.","3.6","n.d.","1.8","2.4","n.d.","n.d.","n.d."
"31/12/1996","3.3","10.2","1.0","4.3","1.3","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","1.4","-0.9","1.1","4.5","0.7","0.0","1.4","n.d.","0.8","n.d.","2.1","n.d.","6.2","1.9","n.d.","n.d.","n.d."
"31/12/1997","3.6","10.0","1.3","3.5","1.1","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","4.7","-1.3","0.4","1.2","0.3","0.0","3.2","n.d.","1.9","n.d.","3.3","n.d.","1.7","1.9","n.d.","n.d.","n.d."
"31/12/1998","5.6","15.1","1.8","5.6","2.0","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","4.0","-0.6","2.3","2.6","2.4","0.0","0.3","n.d.","1.7","n.d.","4.1","n.d.","2.0","3.4","n.d.","n.d.","n.d."
"31/12/1999","3.4","8.7","1.0","3.4","0.5","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","3.1","-2.5","1.6","1.4","1.6","0.8","0.6","n.d.","0.9","n.d.","2.6","n.d.","1.7","2.5","n.d.","n.d.","n.d."
"31/12/2000","3.6","8.3","1.2","5.6","1.6","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","n.d.","2.8","-1.7","0.7","3.0","0.4","2.7","-0.4","n.d.","1.6","n.d.","4.2","n.d.","-0.9","3.1","n.d.","n.d.","n.d."
